,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,Bendigo,39,AU,1579401471,47,-36.77,144.28,97,4
2,Hilo,20,US,1579401471,57,19.73,-155.09,80.6,10.29
3,Hobart,75,AU,1579401424,49,-42.88,147.33,73.99,17.22
4,Bluff,100,NZ,1579401472,73,-46.6,168.33,61.3,8.41
5,Asosa,0,ET,1579401472,43,10.07,34.53,65.01,8.48
9,Chippewa Falls,1,US,1579401303,71,44.94,-91.39,10.4,12.75
10,Dingle,22,PH,1579401473,81,11,122.67,80.78,11.77
11,Jamestown,90,US,1579401473,86,42.1,-79.24,39.2,24.16
13,Port Lincoln,17,AU,1579401474,57,-34.73,135.87,68.04,17.09
14,Ancud,0,CL,1579401474,71,-41.87,-73.82,53.6,13.87
15,Sete Lagoas,67,BR,1579401463,83,-19.47,-44.25,73.4,6.93
16,Mar del Plata,0,AR,1579401474,53,-38,-57.56,75.2,11.41
17,Mataura,100,NZ,1579401475,58,-46.19,168.86,73.62,3.51
18,Punta Arenas,75,CL,1579401475,62,-53.15,-70.92,51.8,18.34
19,Vaini,75,TO,1579401475,74,-21.2,-175.2,84.2,17.22
20,Khatanga,100,RU,1579401475,96,71.97,102.5,-23.84,4.68
21,Rikitea,0,PF,1579401476,81,-23.12,-134.97,78.08,14.03
22,Busselton,0,AU,1579401476,22,-33.65,115.33,82,2.95
23,Bulgan,0,MN,1579401476,78,48.81,103.53,0.37,5.5
24,Thompson,40,CA,1579401218,82,55.74,-97.86,-16.6,4.54
25,Goderich,100,CA,1579401477,93,43.75,-81.72,35.01,25.99
26,Kenitra,90,MA,1579401477,93,34.26,-6.58,55.4,8.05
27,Puerto Ayora,91,EC,1579401477,61,-0.74,-90.35,77,9.33
28,Klaksvik,34,FO,1579401477,75,62.23,-6.59,42.8,14.99
29,Cherskiy,100,RU,1579401478,98,68.75,161.3,-19.71,4.43
30,Carnarvon,0,AU,1579401478,69,-24.87,113.63,82.4,16.11
31,Vychegodskiy,100,RU,1579401478,94,61.25,46.9,29.07,7.61
